iteration,gain_max,ugf,pm,temperature,vdd,vcm_diff
16,41.7675,11328000,67.3102,50,1.7,-0.2
17,57.7497,14215300,65.7425,50,1.7,-0.2
18,65.7644,15146700,65.0356,50,1.7,-0.2
19,47.6352,13471700,67.8688,50,1.7,-0.2
20,66.1238,15364400,64.9905,50,1.7,-0.2
21,40.3058,10890400,67.7285,50,1.7,-0.2
22,41.6765,12608100,70.2434,50,1.7,-0.2
23,69.7071,15290100,64.6929,50,1.7,-0.2
24,55.0513,14101000,65.1518,50,1.7,-0.2
25,64.9417,14918300,65.0309,50,1.7,-0.2
26,64.7855,14851500,65.0605,50,1.7,-0.2
27,65.9811,15233700,64.9758,50,1.7,-0.2
28,39.4264,12111200,71.4069,50,1.7,-0.2
29,65.8471,15146100,65.0453,50,1.7,-0.2
30,66.0923,14995400,64.7609,50,1.7,-0.2
31,44.9833,13171400,68.7287,50,1.7,-0.2
32,65.6362,15170900,64.9887,50,1.7,-0.2
33,64.9563,14936900,64.996,50,1.7,-0.2
34,39.3212,12167200,71.5753,50,1.7,-0.2
35,58.316,14463700,64.9243,50,1.7,-0.2
36,56.7839,14014900,65.9176,50,1.7,-0.2
37,68.5928,15233600,64.7036,50,1.7,-0.2
38,40.9221,12451500,70.6184,50,1.7,-0.2
39,65.6112,15161800,64.9849,50,1.7,-0.2
40,66.3656,15269000,64.9733,50,1.7,-0.2
41,66.5296,15293300,64.9841,50,1.7,-0.2
42,44.2766,12012100,66.6121,50,1.7,-0.2
43,66.1845,15212600,64.9953,50,1.7,-0.2
44,63.8431,14668900,65.0643,50,1.7,-0.2
45,51.4511,13514700,65.5353,50,1.7,-0.2
46,51.2695,13577200,65.5434,50,1.7,-0.2
47,66.8985,15386300,64.9565,50,1.7,-0.2
48,49.7165,13644400,67.311,50,1.7,-0.2
49,65.6017,15175300,65.0282,50,1.7,-0.2
50,64.6357,14739300,65.0132,50,1.7,-0.2
51,63.9879,14590800,64.9967,50,1.7,-0.2
52,47.478,13454500,67.989,50,1.7,-0.2
53,49.5647,13520800,67.3381,50,1.7,-0.2
54,66.4831,15199300,64.9507,50,1.7,-0.2
55,65.1035,14977100,65.0182,50,1.7,-0.2
56,62.4757,14784500,64.8152,50,1.7,-0.2
57,36.7255,11137900,72.9904,50,1.7,-0.2
58,64.9517,14842700,65.0122,50,1.7,-0.2
59,64.1037,14739900,64.9952,50,1.7,-0.2
60,64.3158,14718300,65.0327,50,1.7,-0.2
61,64.4928,14729300,64.9702,50,1.7,-0.2
62,44.1503,11972200,66.6764,50,1.7,-0.2
63,64.8516,14754700,64.9762,50,1.7,-0.2
64,62.2142,14792300,64.7846,50,1.7,-0.2
65,67.9952,15434100,64.8595,50,1.7,-0.2
66,35.7439,10739500,73.5842,50,1.7,-0.2
67,46.6352,12576400,66.1883,50,1.7,-0.2
68,37.6981,10031600,68.6972,50,1.7,-0.2
69,53.4814,13892000,65.3146,50,1.7,-0.2
70,64.5312,15059400,64.7833,50,1.7,-0.2
71,49.8466,13236800,65.7682,50,1.7,-0.2
72,69.8849,15279300,64.7087,50,1.7,-0.2
73,64.947,14874400,64.9536,50,1.7,-0.2
74,42.0108,12670500,70.0519,50,1.7,-0.2
75,55.0214,13991400,66.1971,50,1.7,-0.2
76,57.7103,14461600,64.9883,50,1.7,-0.2
77,66.0138,15255400,65.0228,50,1.7,-0.2
78,35.9519,10792400,73.3765,50,1.7,-0.2
79,65.322,15052400,65.0003,50,1.7,-0.2
80,65.125,15029300,65.0596,50,1.7,-0.2
81,39.9249,10730500,67.852,50,1.7,-0.2
82,64.6979,14888800,64.9821,50,1.7,-0.2
83,43.6381,13014200,69.2846,50,1.7,-0.2
84,66.6084,15396400,64.9517,50,1.7,-0.2
85,67.7864,15384800,64.8677,50,1.7,-0.2
86,69.3252,15229500,64.6625,50,1.7,-0.2
87,55.8816,14053300,66.0792,50,1.7,-0.2
88,64.3997,14680500,65.0073,50,1.7,-0.2
89,43.6544,12937000,69.3747,50,1.7,-0.2
90,65.809,15157800,65.0063,50,1.7,-0.2
